temperature,humidity,co2,feed,age_week,daily_gain,survival_rate
21.33,57.9,971,0.78,3,0.866,92.55
22.68,78.8,3000,0.928,2,0.683,82.0
17.61,52.9,725,1.386,2,0.993,88.92
20.04,35.8,518,0.685,2,0.816,91.82
19.37,56.3,400,0.659,7,1.015,94.0
18.14,47.6,1215,1.854,2,1.092,84.99
20.9,59.2,1745,0.788,2,0.765,88.61
24.33,57.3,953,1.105,0,0.85,89.44
21.29,53.0,903,0.915,4,0.997,94.49
25.04,54.0,1241,1.148,3,1.0,89.14
19.84,59.9,819,1.711,7,1.176,92.83
23.16,46.6,546,1.449,4,1.024,89.43
23.44,36.9,1010,1.169,1,0.931,85.59
20.59,58.7,894,1.009,3,0.869,93.66
21.24,57.1,1558,0.4,1,0.572,89.9
22.53,57.4,847,0.602,3,0.829,92.31
27.18,35.8,1246,0.984,3,0.766,83.91
18.84,54.4,1178,1.211,7,1.026,90.21
25.53,56.3,2279,1.259,5,0.912,85.6
21.11,56.4,666,1.395,1,0.989,90.98
24.35,51.2,1537,1.323,7,1.043,89.34
24.19,38.0,742,0.715,2,0.908,87.42
26.53,57.4,981,0.879,3,0.859,89.64
18.35,51.5,742,1.375,5,1.139,90.67
15.13,63.7,681,1.164,6,0.882,86.92
15.81,54.4,732,0.54,5,0.751,88.05
23.11,62.3,894,1.392,5,1.096,93.13
22.7,56.7,1080,0.857,2,0.928,91.26
21.54,59.1,1378,0.784,2,0.749,90.03
26.44,44.1,727,1.186,5,0.98,88.43
22.03,67.8,1588,1.39,4,0.859,89.14
28.98,47.2,583,1.662,3,0.879,84.94
22.32,67.4,629,0.805,0,0.767,89.96
19.62,61.2,1050,1.168,0,0.837,89.84
15.07,61.3,528,1.175,5,0.881,87.61
22.41,62.0,1151,1.287,2,0.869,90.39
21.46,57.4,1239,0.975,4,0.832,90.59
21.2,54.5,1159,0.487,0,0.708,90.44
17.55,36.1,400,1.196,3,0.957,84.23
22.59,65.1,1874,1.11,6,0.959,90.63
22.28,46.7,626,0.64,1,0.736,92.3
20.93,63.7,1894,0.689,3,0.795,86.26
18.88,62.2,792,0.547,4,0.875,89.02
20.18,51.3,494,0.882,4,0.941,90.69
21.43,58.7,1064,1.493,3,1.03,92.39
17.57,69.0,762,1.431,4,0.972,86.86
21.61,58.7,1975,1.698,4,0.999,90.72
22.48,65.0,812,1.256,3,1.054,92.22
22.94,46.1,444,0.485,0,0.758,90.79
20.62,53.3,1662,1.377,2,0.904,87.45
23.04,50.2,793,1.153,4,1.03,91.99
20.98,66.1,669,1.148,8,1.033,93.96
22.67,68.3,1250,1.333,3,0.974,88.77
21.49,47.9,897,0.807,4,0.867,91.09
25.26,55.8,1023,1.285,3,1.011,90.77
24.81,34.9,660,0.473,0,0.843,85.05
26.09,60.3,996,0.741,0,0.697,88.21
20.37,79.8,1508,1.006,4,1.034,85.68
17.32,56.0,693,1.015,5,1.004,89.41
23.03,60.6,824,1.411,7,1.125,94.7
19.09,48.8,1095,0.963,6,0.95,89.0
20.67,70.2,1147,1.218,6,1.142,92.26
20.91,46.8,605,1.192,0,0.907,89.56
23.91,48.2,1399,0.4,0,0.604,87.98
16.94,51.2,654,0.961,2,0.86,87.63
21.52,57.4,620,1.325,5,1.099,93.66
23.16,59.4,1184,1.731,4,1.068,90.7
21.08,48.5,505,0.707,1,0.815,90.76
21.79,58.4,964,0.884,4,1.0,92.57
24.22,51.6,766,1.287,4,0.997,93.05
17.66,58.0,782,0.784,3,0.902,88.43
17.64,71.6,1465,1.017,4,0.822,86.58
14.77,49.8,447,0.67,4,0.765,86.74
27.99,38.6,725,1.195,6,1.002,86.13
18.33,60.5,1554,0.561,0,0.586,85.42
20.73,51.0,1045,1.128,0,0.754,90.48
23.55,48.1,1430,0.891,1,0.794,89.14
23.62,61.0,1334,0.642,3,0.784,89.8
18.9,59.9,464,1.229,2,0.913,88.16
18.15,65.1,917,0.904,6,0.875,86.98
20.68,56.4,936,0.901,4,1.013,94.04
20.4,52.3,1292,0.743,0,0.758,86.65
26.83,75.7,1573,0.68,2,0.424,82.43
21.14,53.9,544,1.27,4,1.125,93.24
17.52,65.5,1764,1.106,2,0.86,84.0
21.57,61.3,508,1.191,2,1.025,91.07
27.54,48.7,2203,0.801,4,0.601,83.3
22.96,45.8,866,1.432,3,0.967,91.51
16.92,59.1,487,0.959,3,0.924,90.28
16.88,43.6,618,0.825,0,0.769,85.25
24.35,55.7,815,0.754,4,0.957,92.96
23.05,77.2,1714,1.312,3,0.685,82.55
24.45,59.0,1846,0.978,2,0.839,88.28
20.56,63.9,1703,0.961,2,0.847,87.96
22.94,51.8,1300,0.422,0,0.7,90.21
19.65,34.5,400,0.729,2,0.755,87.54
25.34,49.8,693,1.12,5,1.039,91.74
19.07,48.6,810,0.963,4,0.921,90.33
21.96,61.8,687,1.137,3,0.95,92.08
18.35,42.9,728,0.89,1,0.771,86.28
21.71,66.2,455,0.728,1,0.735,91.8
26.38,54.1,1597,0.808,0,0.66,86.15
23.34,54.4,1203,1.053,3,0.89,90.05
22.47,62.1,1444,0.645,0,0.643,89.77
25.01,64.0,885,0.639,2,0.723,87.53
24.79,70.1,1754,1.081,1,0.888,85.11
22.03,52.1,580,1.708,7,1.175,94.52
25.41,43.2,1263,1.276,4,0.971,86.85
25.75,58.0,1629,1.341,4,0.849,86.63
16.65,60.3,558,0.679,6,0.968,89.88
27.19,63.8,1664,1.601,4,0.875,85.12
22.61,43.9,888,1.076,0,0.814,91.51
21.85,54.4,1746,1.336,3,0.906,94.48
22.75,54.8,873,0.792,2,0.886,92.98
19.76,44.8,776,1.138,0,0.722,90.04
21.63,64.9,1581,1.424,3,0.888,88.41
19.46,46.6,739,1.14,6,1.046,92.13
25.3,51.0,650,1.05,3,0.937,89.09
21.39,49.9,865,0.919,2,0.986,92.1
22.93,50.3,965,1.171,1,0.892,91.68
20.56,70.1,694,0.53,0,0.731,89.36
22.09,55.2,869,1.463,0,1.033,91.8
23.19,69.1,826,1.075,1,0.881,88.09
19.32,54.1,1270,1.585,3,0.99,90.39
27.72,50.6,2386,1.108,3,0.619,81.17
23.1,84.9,2338,1.014,5,0.777,79.06
20.91,51.2,1100,1.068,4,1.03,91.87
22.04,58.2,1127,0.535,4,0.846,93.0
19.05,43.5,582,1.04,2,0.955,88.45
24.49,39.9,690,0.905,3,1.019,89.1
22.84,44.5,1034,1.079,0,0.868,90.06
16.12,59.8,606,1.013,3,0.837,86.04
22.68,63.6,724,0.811,0,0.784,90.12
22.87,66.3,1000,0.423,0,0.724,90.61
19.5,51.7,611,1.07,2,0.918,89.95
25.15,45.8,677,1.258,0,0.963,87.31
23.17,55.0,922,1.587,2,1.024,91.14
28.18,47.7,735,1.19,1,0.826,85.1
19.74,60.7,1061,0.902,5,0.929,91.14
25.47,66.0,1712,1.587,0,0.829,80.95
21.05,47.4,766,0.886,2,0.881,90.25
27.65,48.7,1375,1.076,3,0.705,83.03
22.02,59.3,1523,1.59,4,1.005,92.43
23.77,42.4,776,1.352,5,0.994,88.35
22.63,63.1,1316,1.489,4,1.0,90.74
20.93,59.1,400,1.254,0,0.882,91.57
16.83,63.7,893,0.716,1,0.795,86.2
26.11,46.9,2407,1.093,4,0.855,82.41
26.85,52.2,811,1.134,3,0.934,88.67
17.91,55.9,522,1.332,3,0.969,90.35
21.15,54.7,919,1.267,1,0.931,92.24
18.88,68.3,796,0.698,3,0.739,85.21
23.39,39.0,802,1.269,4,0.985,91.36
23.9,39.8,876,0.971,2,0.891,89.19
24.61,67.1,2670,1.549,3,0.917,82.64
23.06,61.5,1144,1.177,5,1.023,89.6
21.82,48.1,668,1.263,3,1.052,92.36
23.02,60.6,929,1.365,4,1.056,91.46
18.3,72.1,794,0.636,0,0.672,83.68
18.94,58.1,697,0.975,4,0.999,90.51
23.02,57.2,1175,1.299,0,0.929,89.95
20.91,34.8,582,1.003,5,0.907,89.07
25.56,54.0,930,1.293,2,0.967,90.26
22.0,64.6,869,1.384,5,1.047,93.37
19.14,66.8,1204,1.13,2,0.742,86.54
19.42,51.9,877,0.764,3,0.891,90.23
18.27,56.1,744,1.776,1,0.966,88.71
26.42,52.8,1364,1.18,4,0.927,87.37
21.54,69.5,959,1.492,2,0.867,91.03
21.82,44.8,874,1.478,3,0.996,90.84
21.41,44.7,654,0.583,1,0.734,92.2
22.68,67.2,3000,0.948,6,0.855,86.1
22.73,52.9,1073,1.114,3,0.918,89.85
20.77,42.5,400,1.247,3,0.917,90.45
20.21,56.6,1111,1.125,2,0.927,91.76
25.68,67.2,1752,1.479,6,0.943,86.59
25.39,58.1,1509,1.304,1,0.913,86.44
24.1,40.1,582,1.464,5,1.021,89.64
26.46,48.7,698,1.078,3,0.913,88.21
22.24,65.8,974,1.255,1,1.025,91.67
23.35,53.9,726,1.054,3,0.944,91.36
21.19,72.8,1143,1.09,0,0.774,86.67
19.32,54.7,574,1.48,3,0.994,92.5
25.87,52.4,1131,1.114,3,0.864,88.65
27.16,30.0,400,0.927,3,0.802,86.44
24.07,57.9,944,1.445,5,1.083,94.58
22.55,63.9,1223,0.973,4,0.931,90.49
22.33,54.7,1606,0.4,0,0.642,88.72
18.44,54.5,635,0.608,0,0.699,88.76
19.42,80.9,2431,1.024,2,0.727,83.21
18.55,39.4,509,0.698,2,0.723,88.46
17.2,51.6,645,1.129,4,0.946,90.63
18.04,66.6,629,1.291,3,0.985,87.48
17.87,55.4,787,1.223,3,1.055,89.98
26.6,60.9,1245,1.41,7,0.993,87.47
27.88,38.2,690,1.562,2,0.9,79.82
18.03,53.6,786,1.006,2,0.918,89.12
19.98,49.8,509,1.738,5,1.163,90.78
24.66,48.0,883,0.899,0,0.861,89.28
17.87,40.9,400,0.664,5,0.854,85.34
21.87,67.6,1319,1.375,2,0.969,88.57
23.57,60.7,895,1.317,4,1.092,91.96
20.35,45.5,429,1.081,4,1.056,91.26
19.62,57.2,992,1.253,6,1.095,91.97
25.83,42.1,1746,0.921,5,0.836,88.34
22.2,50.8,424,1.059,0,0.846,93.2
24.9,67.3,1017,1.287,2,0.833,86.84
20.11,64.1,924,1.626,3,1.021,92.01
25.0,53.4,1452,0.991,3,0.878,90.58
21.65,47.2,978,1.248,4,0.998,92.26
26.61,65.2,1290,1.317,2,0.841,85.39
22.07,49.1,1503,1.164,3,0.832,90.78
25.58,31.0,400,1.313,3,0.909,84.37
22.75,41.5,731,1.649,5,1.204,90.83
22.51,50.3,735,0.464,3,0.846,93.76
24.54,37.6,602,0.731,1,0.799,87.73
22.16,34.7,788,1.236,3,0.962,89.14
14.56,51.6,814,0.4,1,0.607,83.49
18.46,65.7,668,1.224,4,0.901,87.69
27.51,48.4,1337,0.703,5,0.806,85.87
19.72,51.5,716,0.594,3,0.74,91.72
24.9,55.4,603,1.124,4,0.988,90.64
16.37,49.3,771,1.071,4,0.936,88.14
27.58,54.9,1686,1.967,4,0.911,85.99
19.61,61.1,1013,0.931,1,0.933,89.28
28.93,52.4,1039,1.462,3,1.002,86.98
21.24,61.1,585,1.235,7,1.156,94.48
23.4,50.2,746,0.985,2,0.869,90.18
20.87,64.8,517,1.402,3,1.107,89.81
23.13,43.1,1294,1.419,5,1.063,89.7
17.46,66.8,960,0.607,2,0.684,86.7
23.09,59.5,1127,1.216,6,1.053,93.8
25.68,30.0,577,0.981,0,0.81,84.07
22.28,66.9,756,1.265,1,0.873,92.78
19.98,71.0,859,1.281,0,0.857,86.54
27.59,56.2,1255,1.352,0,0.82,84.67
25.55,48.9,946,0.98,2,0.816,88.22
24.08,55.7,1348,1.12,4,0.932,89.74
20.74,77.6,693,1.567,6,0.977,91.6
19.44,78.7,1718,1.435,3,0.92,77.65
21.35,53.5,972,1.495,4,1.038,92.89
19.27,65.3,1285,1.286,5,1.008,90.12
21.19,46.7,524,0.584,3,0.76,91.35
21.75,50.9,400,0.75,5,0.892,94.77
20.01,60.2,509,1.537,3,1.018,92.76
22.87,76.8,2553,1.088,2,0.629,82.89
21.02,60.8,900,0.994,6,1.022,94.21
21.66,77.6,1385,1.712,4,0.972,92.97
24.89,45.6,664,1.248,5,0.962,90.34
22.12,42.4,428,0.647,0,0.723,90.3
22.33,65.6,1116,0.479,2,0.672,91.71
21.51,75.7,734,1.08,6,0.993,92.75
23.35,59.3,1117,1.231,5,1.014,91.85
19.57,65.5,550,1.225,3,0.959,88.88
20.15,56.3,642,0.772,2,0.823,92.88
18.69,60.9,517,1.305,1,1.023,88.35
20.3,50.4,1219,1.139,3,0.874,91.47
23.5,33.4,655,1.625,4,1.009,89.03
22.2,60.1,1413,0.521,0,0.673,91.93
22.63,47.6,1349,0.968,0,0.764,88.27
18.2,31.5,411,0.903,2,0.761,83.55
25.24,63.9,1240,0.55,3,0.646,88.74
23.67,56.6,1510,0.771,6,0.867,89.85
19.12,64.7,466,0.847,6,0.917,90.43
21.22,63.8,1100,1.091,6,1.087,93.88
21.29,38.3,463,1.197,4,1.103,88.13
17.3,51.9,494,0.924,0,0.808,87.56
20.11,49.5,959,1.282,3,0.932,91.9
20.82,57.3,636,0.765,1,0.851,91.62
20.1,45.3,702,1.25,0,0.848,88.03
22.08,52.8,989,1.084,0,0.829,91.93
18.21,58.4,1098,0.4,3,0.732,87.87
25.57,50.5,1302,0.915,2,0.794,87.65
17.14,36.4,655,0.657,2,0.722,84.31
17.84,44.8,525,0.79,3,0.799,87.05
23.36,57.0,1121,1.589,2,0.976,91.58
21.84,66.1,1772,0.705,2,0.77,90.85
26.07,56.5,1316,1.094,2,0.842,87.94
22.86,51.8,885,1.123,2,0.937,93.34
23.6,81.9,840,1.348,2,0.679,89.9
23.73,54.0,1329,1.457,4,1.077,90.39
25.4,30.0,1293,1.133,5,0.837,85.41
18.34,50.0,676,1.024,4,1.021,89.24
25.25,35.2,1126,1.054,3,0.863,83.47
17.59,63.5,400,1.298,0,0.864,86.81
22.16,53.7,1387,1.029,2,0.777,90.54
20.48,68.6,1282,1.013,2,0.953,88.81
17.3,62.7,400,1.313,4,1.049,86.3
29.16,38.4,1034,1.662,6,1.013,84.05
19.91,58.9,840,1.171,2,1.023,89.44
21.73,39.8,701,1.167,3,0.953,91.7
17.15,68.6,958,0.87,2,0.868,84.97
17.5,48.8,481,1.385,2,0.966,87.17
23.92,48.2,993,1.053,5,1.02,92.29
20.4,41.1,400,0.884,0,0.752,88.07
23.23,49.5,2182,0.55,3,0.656,87.41
18.62,53.0,728,0.4,3,0.794,89.93
27.71,45.9,1236,1.439,3,0.815,85.67
20.26,34.4,696,0.953,1,0.827,88.92
22.38,49.0,676,1.267,1,0.93,92.49
25.14,38.8,641,1.654,6,0.999,88.1
22.29,45.6,631,1.095,3,0.925,93.21
21.73,54.9,813,0.672,1,0.783,92.35
24.74,39.5,756,0.835,3,0.904,87.13
20.83,70.3,1340,0.751,4,0.811,88.51
19.68,51.3,809,0.905,5,1.033,92.56
19.68,50.9,555,0.894,5,0.994,90.7
23.89,70.0,3000,0.851,3,0.574,83.79
18.47,50.4,511,0.73,1,0.81,88.56
21.57,43.6,974,0.766,8,0.97,92.68
20.65,56.8,518,1.611,6,1.18,94.43
22.89,41.2,802,0.722,5,0.898,90.31
24.43,53.9,411,0.869,4,0.912,93.54
25.64,62.7,725,1.289,5,1.024,89.27
17.02,59.1,768,0.957,0,0.83,86.85
21.02,52.6,762,0.913,2,0.848,93.49
21.88,59.4,862,0.999,3,0.946,93.34
16.24,64.4,725,1.073,5,0.853,88.23
16.14,40.8,515,0.959,3,0.903,82.22
20.61,62.6,1346,1.243,3,0.959,89.07
15.68,67.7,1182,1.241,2,0.926,83.96
24.02,61.6,2117,0.874,2,0.667,87.59
24.24,53.7,668,1.262,4,1.081,92.49
22.26,56.9,860,1.552,2,1.07,93.69
20.24,56.6,1149,0.629,0,0.714,90.89
15.89,60.4,429,0.941,4,0.872,87.28
20.08,58.8,757,1.292,4,1.0,90.0
19.92,55.1,1165,1.175,0,0.796,91.16
23.97,42.9,1406,1.362,4,0.927,87.08
22.47,52.6,1151,0.978,3,0.843,92.62
24.62,47.4,738,0.759,0,0.849,88.76
16.51,66.6,1533,1.471,0,0.708,82.5
24.17,67.0,1095,1.213,0,0.841,86.05
22.8,44.0,836,0.603,3,0.835,89.03
25.07,44.9,595,0.478,2,0.773,87.35
20.26,41.4,738,0.884,1,0.84,89.75
20.34,66.8,1259,1.079,4,0.96,87.13
18.52,58.2,798,0.926,4,0.934,89.42
19.66,61.9,1077,0.4,4,0.785,90.46
14.0,56.7,737,0.878,0,0.684,82.68
18.72,67.7,438,1.466,3,1.082,87.37
18.42,52.3,456,1.311,5,1.162,90.6
16.84,55.4,459,1.426,1,0.9,87.9
26.81,50.7,740,0.962,1,0.711,86.17
18.18,59.1,469,0.437,1,0.762,88.49
16.59,52.2,418,0.771,7,1.008,89.67
22.17,57.2,482,0.941,3,1.004,92.55
18.93,66.4,570,1.035,2,0.92,88.4
22.49,48.4,742,1.014,1,0.936,90.91
23.46,56.1,980,0.998,4,1.022,92.61
21.29,52.6,854,1.581,1,1.064,92.75
24.31,34.7,785,1.513,5,1.12,88.15
22.51,49.1,846,1.008,1,0.82,92.45
21.13,57.6,665,0.871,0,0.817,92.15
23.17,59.3,1153,1.415,4,1.052,92.43
23.18,57.0,976,0.968,7,1.03,94.2
20.64,49.7,877,1.129,0,0.872,91.38
25.37,51.3,691,1.496,5,1.176,90.88
18.21,75.4,1306,1.119,6,0.859,82.57
22.48,54.3,714,1.284,4,1.073,93.31
22.04,47.3,822,1.048,0,0.863,91.22
17.58,64.2,400,1.172,2,0.873,87.02
25.92,47.0,1301,0.994,3,0.784,87.32
24.21,48.7,1360,0.797,3,0.742,88.0
24.77,59.1,2433,0.903,0,0.693,86.83
19.02,63.9,1048,1.12,1,0.859,87.71
24.3,41.2,1267,1.905,5,1.013,88.42
23.75,48.8,453,0.944,1,0.783,89.66
17.66,75.3,1084,1.232,3,0.9,82.88
21.48,64.8,1029,1.29,3,0.952,91.07
20.97,42.2,400,0.984,3,0.868,90.55
18.14,57.9,746,0.422,0,0.667,88.11
23.22,57.7,663,1.189,5,1.038,94.43
24.33,52.1,837,0.94,4,0.97,91.36
22.59,60.6,1093,1.371,4,1.015,92.08
24.35,61.5,877,0.633,5,0.839,91.87
22.77,37.8,524,1.279,3,0.957,89.67
20.46,69.8,717,0.916,3,0.922,90.29
23.17,58.8,1481,1.178,4,0.948,89.1
21.22,56.3,910,1.157,5,1.031,92.78
23.67,54.0,727,1.149,3,0.964,92.27
22.58,75.9,1131,1.323,5,0.886,88.95
22.29,77.4,1206,1.294,2,0.766,86.34
20.95,58.3,1230,1.182,6,0.955,92.55
21.72,52.0,2341,1.166,2,0.871,88.16
19.92,47.6,973,0.923,3,0.915,89.48
21.81,62.2,736,0.819,3,0.885,92.06
23.8,56.7,772,1.342,2,1.007,91.65
20.44,47.2,1148,1.218,4,0.995,89.34
25.74,79.1,948,1.05,1,0.593,83.07
19.45,46.7,578,0.677,3,0.831,90.24
22.16,59.5,1201,1.292,3,0.951,92.05
28.36,52.0,645,0.901,0,0.841,84.82
22.05,53.8,739,1.696,5,1.176,93.97
24.18,44.2,583,1.11,3,0.952,88.56
16.43,57.9,654,0.974,1,0.887,86.57
20.38,54.6,829,1.255,5,1.111,94.79
21.12,51.3,935,1.248,2,0.901,92.46
24.37,62.5,1989,1.671,2,0.896,83.9
22.04,55.1,871,0.91,0,0.82,93.53
22.28,47.3,822,0.837,1,0.854,90.85
22.7,55.9,1197,1.752,4,1.058,92.61
23.46,43.4,490,1.558,2,1.006,89.22
18.87,57.2,733,0.801,2,0.842,91.53
25.69,44.1,555,1.402,4,1.077,87.07
20.14,41.2,462,1.014,5,0.892,90.57
18.89,56.8,974,0.4,4,0.784,89.96
18.45,61.2,871,1.395,5,1.005,90.53
14.87,53.3,566,0.939,4,0.81,86.74
24.37,58.9,1048,0.604,1,0.77,90.64
23.25,43.4,1004,1.331,4,1.024,91.39
14.0,50.3,906,0.772,0,0.646,82.4
25.71,52.0,1670,1.205,4,0.972,90.95
23.09,60.8,2574,1.395,0,0.858,85.68
23.34,64.9,1876,1.016,5,0.862,87.26
24.78,77.6,1244,1.087,2,0.802,85.43
20.53,47.6,400,0.958,4,0.93,92.08
20.52,75.0,1186,1.542,4,1.015,89.06
24.48,55.6,1816,1.134,4,0.836,89.16
23.1,51.3,1056,1.755,3,1.132,92.6
23.26,66.1,1862,1.15,0,0.821,87.43
23.55,32.2,1146,1.061,5,0.824,86.41
19.29,42.2,652,0.999,2,0.838,90.69
22.25,81.6,2064,1.509,5,0.91,90.17
26.44,49.5,502,1.108,5,0.959,89.81
19.09,55.7,575,1.517,5,1.148,91.69
23.95,59.4,1100,1.203,1,0.885,89.73
15.44,61.9,741,1.394,7,1.149,86.83
26.71,41.4,842,1.255,8,1.056,88.03
26.44,62.1,1199,0.932,4,0.967,84.45
18.7,55.4,694,1.53,3,1.091,91.71
14.68,66.0,514,1.068,3,0.738,85.66
21.18,63.3,554,0.989,4,1.045,90.35
20.16,41.0,789,1.343,3,1.048,90.44
16.12,66.7,400,1.181,1,0.851,84.57
18.52,53.6,646,0.86,4,0.961,90.34
20.66,65.6,1114,0.915,1,0.727,89.69
17.06,61.9,639,0.4,1,0.606,84.83
19.3,72.5,542,0.73,5,0.855,88.51
26.07,44.4,766,1.302,0,0.938,86.5
16.42,56.9,1152,0.884,3,0.848,86.88
25.4,72.6,1262,1.218,7,1.072,84.85
17.43,68.8,578,1.138,3,0.983,87.04
19.13,47.9,720,1.324,3,1.013,90.56
22.21,60.4,696,1.356,5,1.135,94.03
29.81,44.8,1064,1.397,5,0.99,83.41
20.39,52.4,946,0.817,2,0.846,93.69
22.27,64.4,867,0.604,0,0.707,89.81
18.22,45.4,549,0.662,1,0.784,88.11
19.68,52.7,1218,1.238,3,0.846,90.31
20.62,52.0,877,1.238,1,0.943,92.95
22.11,35.2,681,1.245,3,0.987,90.69
27.45,41.9,1111,1.107,3,0.827,85.8
21.66,56.3,1245,1.497,4,1.066,93.26
24.45,46.2,1208,0.862,5,0.907,88.24
28.63,48.3,541,1.028,5,0.759,85.23
23.66,56.0,1508,1.256,6,1.107,90.93
24.76,67.4,1569,1.45,3,0.907,87.85
20.2,73.0,1209,1.383,4,0.903,88.33
20.24,56.6,1421,1.228,0,0.912,88.7
21.35,72.8,1105,0.633,6,0.899,92.72
24.05,52.6,859,1.443,2,1.026,89.43
25.44,57.4,1305,1.195,3,0.961,87.12
25.14,44.0,489,1.301,4,0.959,86.24
23.44,57.7,925,1.367,3,1.016,93.01
20.54,53.2,1702,0.534,3,0.803,89.31
16.96,58.1,574,0.435,3,0.738,88.89
20.86,35.6,800,1.421,7,1.047,90.51
23.08,54.5,1593,1.593,6,1.084,92.89
19.18,59.3,951,0.539,3,0.814,89.94
28.82,55.5,2533,1.228,3,0.741,81.69
23.14,46.1,571,1.467,6,1.068,92.63
19.03,66.9,887,1.209,4,0.833,89.38
24.98,53.3,1829,1.206,4,0.97,89.85
19.5,78.0,1393,1.363,0,0.685,80.58
19.53,69.0,1102,0.554,4,0.736,88.27
20.37,70.0,1030,1.2,5,0.829,90.04
19.31,47.6,606,1.282,1,0.986,89.01
17.0,67.1,638,0.974,0,0.79,84.54
19.96,56.6,1151,0.839,6,0.969,91.44
19.95,50.1,1284,1.096,2,0.9,90.77
21.53,68.5,1960,0.887,3,0.594,87.16
22.27,45.2,748,1.067,5,0.951,95.22
25.62,48.8,946,1.323,2,0.929,88.94
23.77,52.7,672,0.844,5,0.931,92.36
21.53,71.3,970,1.252,8,1.051,93.03
18.83,39.3,884,0.734,3,0.836,87.71
20.24,59.1,600,1.052,4,1.023,92.93
18.98,50.7,593,0.625,2,0.757,88.69
22.36,50.8,769,1.086,2,0.931,91.13
24.07,67.2,1089,1.326,3,0.991,89.31
23.1,69.2,1534,0.641,3,0.658,89.31
25.7,49.8,1535,0.911,0,0.719,86.01
22.42,37.6,612,1.42,0,0.933,89.97
18.16,48.2,596,0.914,6,1.002,90.28
24.86,57.4,1209,1.262,1,0.936,87.23
24.57,42.1,1159,1.423,4,1.013,88.65
21.47,59.3,400,1.237,3,0.987,93.81
21.85,62.0,986,0.79,2,0.772,92.11
22.2,55.9,988,1.412,1,0.975,91.52
22.53,67.1,603,1.231,2,0.931,90.4
20.89,47.2,676,1.6,1,0.955,91.13
18.49,45.3,1144,0.855,3,0.881,89.64
20.79,46.9,651,1.781,7,1.244,90.97
19.44,63.4,644,0.585,4,0.815,90.47
25.48,62.2,1091,1.132,4,0.9,87.61
23.17,50.2,481,1.151,5,1.007,93.16
18.41,64.2,949,1.306,5,0.952,89.7
19.92,41.1,492,1.286,2,1.053,88.44
19.92,39.1,1133,1.23,5,0.953,89.62
24.9,58.2,1059,1.106,2,0.873,90.46
29.9,53.8,1262,1.344,1,0.674,82.94
26.51,44.8,1226,1.428,4,0.938,84.59
22.28,54.9,896,0.933,2,0.855,94.66
26.44,50.3,826,0.998,5,1.013,89.98
24.03,58.7,1004,1.315,2,0.915,90.96
21.22,65.0,1436,0.828,1,0.652,87.71
22.33,71.4,602,1.277,0,0.885,90.81
20.1,53.1,650,0.914,3,0.914,93.35
20.39,42.2,856,1.24,5,1.011,90.53
17.38,61.7,964,0.752,3,0.859,87.64
21.65,73.1,2564,0.651,7,0.73,83.57
19.25,66.8,1346,0.804,4,0.823,86.62
21.68,60.6,1068,1.469,4,0.993,91.5
21.5,66.0,1332,1.346,2,0.807,89.71
18.86,52.1,544,1.287,5,1.044,90.7
21.53,69.2,1915,1.205,1,0.684,87.17
