temperature,humidity,co2,feed,age_week,survival_rate,daily_gain
15.41,65.74,643,1.308,6,60.0,40.0
30.5,79.66,1982,0.632,7,60.0,40.0
23.62,74.02,1141,1.615,1,60.0,40.0
18.94,75.33,919,0.934,6,60.0,40.0
23.82,44.21,1255,1.83,7,76.12,65.76
12.46,53.07,1737,1.727,2,60.0,40.0
31.17,60.46,1993,0.841,6,60.0,40.0
21.65,32.43,945,0.808,1,60.0,40.0
27.65,72.34,876,1.037,9,60.0,40.0
13.65,47.79,2110,1.687,7,60.0,40.0
21.73,45.54,1481,0.609,6,78.58,71.89
21.81,44.26,1185,0.906,6,75.66,71.98
30.76,45.59,919,1.455,7,60.0,40.0
23.43,48.59,2192,0.454,4,80.87,81.75
21.47,63.27,1751,0.489,9,75.03,74.03
17.34,62.1,949,1.619,2,74.31,67.5
18.63,44.06,746,1.236,8,70.18,60.85
22.41,41.35,919,1.292,7,67.87,52.14
20.78,75.45,996,0.798,8,60.0,40.0
12.43,35.1,778,1.251,1,60.0,40.0
28.53,58.21,967,1.272,5,72.58,62.46
29.92,58.63,787,1.062,6,60.0,40.0
14.8,61.58,1204,1.943,6,60.0,40.0
23.08,78.71,1378,0.479,7,60.0,40.0
14.17,64.32,1328,1.064,6,60.0,40.0
25.44,83.55,1927,1.772,3,60.0,40.0
17.62,77.92,1006,0.73,8,60.0,40.0
25.19,41.81,2019,1.896,5,60.0,40.0
26.54,43.27,2053,1.081,9,60.0,40.0
27.37,48.96,2136,0.651,5,66.37,51.04
14.15,51.53,890,0.549,5,60.0,40.0
30.32,60.41,993,0.923,6,60.0,40.0
16.6,42.79,1598,1.872,8,60.0,40.0
12.75,42.23,825,1.903,9,60.0,40.0
23.1,50.98,737,1.301,6,94.63,110.63
19.42,66.96,718,0.589,5,67.87,55.05
28.6,67.85,1570,1.131,1,60.0,40.0
28.17,83.69,1887,1.068,1,60.0,40.0
18.34,41.13,1014,0.77,7,60.0,40.0
31.06,51.61,2094,0.522,4,60.0,40.0
17.82,83.06,1867,1.011,4,60.0,40.0
22.3,67.95,724,0.995,6,70.02,53.63
17.12,62.58,1252,1.526,2,73.79,59.12
30.72,59.68,709,1.031,3,60.0,40.0
15.29,34.15,2064,0.421,1,60.0,40.0
12.9,79.14,1788,0.432,7,60.0,40.0
20.7,64.4,1698,1.5,5,79.03,78.47
31.85,61.44,1692,1.457,2,60.0,40.0
29.83,59.67,1056,0.657,6,60.0,40.0
26.97,51.56,2094,1.786,2,73.69,64.21
29.82,44.01,2076,1.46,8,60.0,40.0
29.87,71.54,1783,0.646,3,60.0,40.0
22.38,58.03,1350,0.86,3,94.22,107.84
18.32,31.87,675,1.958,8,60.0,40.0
27.44,51.95,645,1.052,7,76.81,73.82
25.23,81.07,821,0.779,7,60.0,40.0
19.47,50.56,1553,1.239,6,86.75,98.05
13.89,52.73,1877,0.729,5,60.0,40.0
26.94,64.32,2118,1.667,2,64.41,40.0
17.25,74.09,881,1.671,3,60.0,40.0
30.74,66.77,1041,1.681,9,60.0,40.0
16.82,76.75,687,1.388,9,60.0,40.0
14.46,36.27,2182,1.51,7,60.0,40.0
28.62,80.85,1849,0.914,8,60.0,40.0
15.07,79.72,1369,1.806,8,60.0,40.0
15.59,58.55,1521,0.631,4,69.13,43.98
23.99,64.36,1499,0.807,7,75.12,73.18
29.49,41.7,1007,1.988,7,60.0,40.0
15.93,54.64,897,1.937,2,72.13,60.98
18.21,41.15,1075,1.212,9,60.0,40.0
27.55,31.21,995,1.199,5,60.0,40.0
31.44,83.95,1492,0.587,3,60.0,40.0
22.01,44.25,1093,1.455,5,77.33,74.82
14.88,62.62,1766,0.45,3,60.0,40.0
12.28,46.51,1509,0.903,3,60.0,40.0
16.59,50.38,1452,1.069,5,73.37,65.96
14.64,51.88,2122,1.83,9,61.79,40.0
25.55,48.43,1116,1.95,4,80.68,75.21
14.44,65.06,1616,1.958,2,60.0,40.0
22.13,82.85,600,1.678,7,60.0,40.0
25.89,53.57,1779,0.864,3,83.23,88.98
23.62,83.53,1404,0.473,5,60.0,40.0
16.0,66.73,933,1.081,3,60.0,40.0
28.08,63.39,602,0.876,2,65.92,45.11
26.31,43.04,1731,1.448,3,61.26,40.0
26.78,33.46,1660,0.994,4,60.0,40.0
14.62,76.86,1665,1.825,9,60.0,40.0
14.48,61.57,1300,0.998,7,60.0,40.0
30.55,52.79,1623,1.005,7,60.0,40.0
19.95,74.66,1514,1.615,1,60.0,40.0
18.02,47.08,982,1.344,1,77.29,71.39
21.77,73.1,1430,0.808,4,60.0,40.0
25.26,48.04,1423,1.483,8,82.09,84.7
31.11,80.65,1918,1.301,1,60.0,40.0
17.73,44.74,1294,0.566,7,62.52,45.23
30.5,37.57,1298,1.148,8,60.0,40.0
12.5,68.4,2175,1.87,3,60.0,40.0
23.1,38.96,2031,0.739,2,60.0,40.0
24.68,82.21,988,1.063,2,60.0,40.0
14.12,66.06,2056,0.842,1,60.0,40.0
14.81,42.7,821,1.259,8,60.0,40.0
20.38,41.49,1965,1.96,8,62.78,40.0
31.32,80.81,893,0.896,7,60.0,40.0
23.92,63.43,1281,1.733,1,77.05,78.56
30.66,79.16,2174,1.741,9,60.0,40.0
28.09,36.06,755,0.815,7,60.0,40.0
21.35,80.9,1944,1.636,8,60.0,40.0
27.7,58.6,1392,1.981,4,73.05,56.03
12.36,66.76,778,1.926,2,60.0,40.0
14.18,50.51,2124,1.369,8,60.0,40.0
28.59,33.25,1479,0.643,1,60.0,40.0
27.94,82.69,2009,0.591,2,60.0,40.0
16.65,84.7,1991,0.827,2,60.0,40.0
22.62,50.05,623,1.362,1,91.4,106.29
24.12,81.91,1024,1.018,5,60.0,40.0
29.35,39.22,1139,1.518,3,60.0,40.0
24.06,38.51,1456,1.66,9,60.0,40.0
20.25,34.02,715,0.689,9,60.0,40.0
19.48,51.52,1222,1.848,2,86.56,95.67
20.52,32.88,1903,0.497,8,60.0,40.0
25.04,51.71,877,0.824,1,91.13,102.1
29.35,37.61,1722,1.704,3,60.0,40.0
21.08,70.18,1337,0.694,6,60.0,40.0
16.96,75.83,713,0.752,2,60.0,40.0
16.73,67.83,884,1.961,1,60.0,40.0
26.92,41.03,826,1.86,2,60.0,40.0
28.33,72.18,1592,1.7,6,60.0,40.0
14.11,43.72,740,0.678,2,60.0,40.0
13.33,71.77,1917,0.808,3,60.0,40.0
23.89,61.21,1891,0.776,2,86.31,89.2
14.92,50.17,728,0.703,8,60.0,40.0
28.49,34.59,2021,1.953,8,60.0,40.0
18.21,75.51,2135,0.666,8,60.0,40.0
14.88,81.68,670,1.595,1,60.0,40.0
30.42,66.63,2121,0.482,3,60.0,40.0
15.31,83.05,1047,1.27,8,60.0,40.0
17.69,81.38,1664,0.513,5,60.0,40.0
15.07,40.7,880,0.499,1,60.0,40.0
14.31,70.22,1908,0.768,3,60.0,40.0
12.42,49.21,1947,1.881,8,60.0,40.0
13.11,56.81,2165,1.422,8,60.0,40.0
15.49,38.63,2188,1.442,4,60.0,40.0
13.07,83.61,721,0.876,2,60.0,40.0
23.82,69.94,1653,1.558,1,60.0,40.0
25.61,44.68,1037,1.49,3,72.3,60.55
19.87,50.43,801,1.139,8,90.29,102.65
18.36,53.24,838,1.492,8,87.06,99.38
22.09,71.11,2098,1.787,3,60.0,40.0
29.5,80.91,1694,1.937,9,60.0,40.0
29.02,47.68,681,1.995,8,60.42,40.0
12.87,55.99,2175,1.181,9,60.0,40.0
15.63,62.63,1892,0.452,7,60.0,40.0
16.73,51.63,1095,0.767,6,75.18,68.92
16.99,57.73,1353,0.715,9,74.45,70.85
23.42,35.81,1763,0.881,7,60.0,40.0
20.33,39.22,1682,0.977,8,60.0,40.0
12.99,52.06,1341,1.47,4,60.0,40.0
19.47,80.32,1420,1.241,3,60.0,40.0
22.48,49.21,669,1.44,6,93.25,107.88
14.03,43.74,1401,1.955,4,60.0,40.0
28.67,70.86,1144,0.479,4,60.0,40.0
13.04,82.2,1056,0.423,7,60.0,40.0
30.5,55.25,1031,1.465,6,60.0,40.0
13.98,30.47,1638,1.274,3,60.0,40.0
28.87,67.85,1287,1.172,3,60.0,40.0
30.05,52.83,1281,1.765,5,60.0,40.0
31.59,67.05,855,0.654,3,60.0,40.0
28.04,45.27,2139,1.318,3,60.0,40.0
27.59,30.13,958,1.891,2,60.0,40.0
24.85,48.95,1250,1.113,6,86.81,91.84
27.58,68.76,904,1.328,4,60.0,40.0
14.69,51.62,1725,0.512,4,60.72,40.0
22.72,42.05,1298,0.959,2,70.25,54.7
22.28,55.52,1262,0.466,1,93.84,112.48
29.15,71.38,2000,1.316,7,60.0,40.0
21.26,36.57,1815,1.345,9,60.0,40.0
19.7,68.05,1432,1.921,3,61.99,40.0
24.79,66.7,1350,1.421,8,68.02,56.2
17.33,50.39,2136,0.405,6,72.32,57.96
14.8,83.37,2130,1.733,3,60.0,40.0
21.56,79.21,1728,0.927,6,60.0,40.0
20.34,47.39,1816,1.543,2,81.66,81.19
16.65,31.71,2039,0.822,4,60.0,40.0
19.35,46.96,2143,1.616,7,77.97,75.73
19.33,41.26,732,1.884,8,63.11,42.27
18.55,60.1,2196,0.527,2,80.87,77.23
19.59,80.53,1725,1.271,9,60.0,40.0
25.71,77.87,1548,1.265,6,60.0,40.0
17.94,46.82,1261,0.858,3,76.97,72.49
30.98,53.57,1138,0.947,8,60.0,40.0
30.33,32.01,1887,1.482,8,60.0,40.0
21.62,59.93,1647,0.868,3,89.88,100.81
18.57,33.49,921,0.449,1,60.0,40.0
22.71,81.62,1576,1.631,3,60.0,40.0
28.97,77.68,826,1.4,7,60.0,40.0
25.05,41.78,1395,0.801,1,65.45,40.0
28.09,68.47,1534,1.938,3,60.0,40.0
22.65,61.24,1617,1.837,3,85.23,89.35
24.66,74.07,832,1.943,1,60.0,40.0
17.76,56.16,753,1.22,6,86.48,90.14
26.7,40.55,1014,0.776,8,60.0,40.0
16.05,65.19,1571,0.678,2,60.0,40.0
25.9,34.42,2091,1.918,8,60.0,40.0
29.21,62.15,1847,1.825,9,60.0,40.0
14.64,41.7,1793,1.585,8,60.0,40.0
24.29,67.67,1128,1.217,7,70.4,52.75
13.9,75.54,779,1.015,5,60.0,40.0
26.51,36.02,2027,1.526,2,60.0,40.0
13.69,52.01,1401,0.415,9,60.0,40.0
30.72,70.34,761,1.239,5,60.0,40.0
14.75,39.0,1456,1.486,5,60.0,40.0
31.18,61.16,1681,1.606,4,60.0,40.0
28.02,66.95,1112,1.122,2,60.0,40.0
23.87,49.51,615,1.592,4,88.62,97.13
27.65,75.76,1595,0.553,8,60.0,40.0
27.9,58.09,664,0.773,6,75.33,65.11
30.92,64.48,1292,0.631,4,60.0,40.0
17.07,37.75,1920,0.944,1,60.0,40.0
23.8,31.27,2198,0.951,4,60.0,40.0
13.9,32.79,1192,0.998,2,60.0,40.0
24.32,79.72,632,1.145,4,60.0,40.0
15.43,78.55,1389,1.098,2,60.0,40.0
23.3,74.42,1042,1.185,9,60.0,40.0
23.45,40.98,2028,1.604,2,60.0,40.0
21.32,58.9,1738,0.627,2,88.75,101.68
22.45,73.79,1247,0.961,6,60.0,40.0
27.28,67.11,1819,0.4,4,60.0,40.0
27.98,36.35,1146,0.445,9,60.0,40.0
21.84,79.25,1435,1.37,4,60.0,40.0
23.99,38.84,2076,1.802,6,60.0,40.0
30.62,39.45,920,0.889,8,60.0,40.0
14.39,79.56,1101,1.043,9,60.0,40.0
14.34,56.65,2017,0.736,8,60.0,40.0
13.75,50.51,1339,0.628,6,60.0,40.0
25.16,60.45,1109,1.815,8,87.59,94.72
20.37,83.98,660,1.315,3,60.0,40.0
27.49,36.58,1270,1.528,8,60.0,40.0
25.42,71.63,1401,1.811,8,60.0,40.0
18.67,48.39,1250,1.341,4,82.97,84.83
29.97,36.44,1044,0.688,1,60.0,40.0
27.25,53.21,1191,1.541,7,78.94,80.1
17.41,60.18,1628,1.596,1,73.24,70.54
19.28,41.33,2026,1.062,1,60.0,40.0
18.29,52.29,1639,1.387,9,85.47,91.01
15.15,64.96,1634,1.175,6,60.0,40.0
14.96,61.7,1907,0.933,6,60.0,40.0
30.72,69.77,864,1.476,8,60.0,40.0
20.76,76.0,1082,0.796,9,60.0,40.0
19.67,52.5,681,0.924,9,88.64,99.55
26.59,53.26,1159,1.049,2,83.5,91.61
23.06,57.32,2198,1.383,3,88.47,100.04
30.72,61.15,1127,1.764,7,60.0,40.0
27.61,35.96,1976,1.384,1,60.0,40.0
21.59,47.19,737,1.562,3,85.99,93.76
19.53,39.45,1336,0.868,5,60.0,40.0
31.73,51.22,1162,1.34,4,60.0,40.0
26.36,83.53,923,0.566,2,60.0,40.0
31.02,62.05,1196,1.141,9,60.0,40.0
14.37,53.62,1642,1.504,5,61.69,40.0
29.01,61.13,1384,0.688,4,61.45,40.0
24.74,66.8,1951,1.843,6,64.38,48.45
14.44,53.92,2048,1.068,7,60.0,40.0
23.77,54.62,1371,1.474,5,91.77,113.19
25.72,68.58,2171,1.152,8,60.0,40.0
12.25,33.35,715,1.572,3,60.0,40.0
21.09,59.7,1042,1.335,8,92.03,107.89
28.51,60.1,1267,0.596,8,64.33,42.43
17.91,71.62,1532,1.88,1,60.0,40.0
21.17,84.05,1473,1.456,7,60.0,40.0
20.85,73.77,1509,1.155,2,60.0,40.0
18.04,57.71,2034,1.483,5,83.48,82.32
30.37,39.32,1044,0.817,9,60.0,40.0
27.63,62.35,1907,1.63,2,64.22,40.99
14.21,75.89,1493,1.058,6,60.0,40.0
31.94,81.28,1385,1.688,7,60.0,40.0
29.58,75.39,1079,0.838,5,60.0,40.0
17.68,40.39,1087,1.664,1,60.0,40.0
28.74,69.19,1222,1.851,1,60.0,40.0
14.13,78.41,1822,1.969,5,60.0,40.0
31.98,67.46,1363,1.643,1,60.0,40.0
25.31,67.72,846,1.526,1,65.55,40.0
25.0,57.51,1816,1.232,9,86.0,92.07
13.81,65.03,1661,0.569,5,60.0,40.0
29.94,46.19,2119,1.296,5,60.0,40.0
12.58,34.88,1447,1.301,1,60.0,40.0
16.82,75.52,1647,0.504,8,60.0,40.0
14.86,81.87,1367,1.505,5,60.0,40.0
27.54,77.13,1689,0.638,2,60.0,40.0
15.96,48.37,1298,1.355,7,70.93,53.79
30.21,35.14,821,1.156,3,60.0,40.0
25.13,45.41,2179,1.8,5,70.78,57.4
12.72,76.36,1753,0.772,6,60.0,40.0
12.11,66.07,1574,0.674,3,60.0,40.0
13.03,83.17,1370,1.282,8,60.0,40.0
24.12,48.85,1738,1.136,7,83.53,87.91
28.03,60.33,803,0.658,3,71.09,55.21
16.77,73.45,1122,1.382,2,60.0,40.0
28.99,42.87,800,1.849,3,60.0,40.0
13.14,83.02,802,1.584,5,60.0,40.0
28.02,62.58,634,0.735,5,66.35,46.89
30.56,30.43,1809,0.781,4,60.0,40.0
27.44,31.38,964,1.292,1,60.0,40.0
25.96,78.52,1931,1.484,7,60.0,40.0
28.76,65.49,2047,1.966,4,60.0,40.0
12.8,71.97,870,0.568,4,60.0,40.0
16.04,73.12,1734,1.274,6,60.0,40.0
14.5,53.13,1336,1.98,8,61.5,40.0
22.09,73.92,2070,0.577,1,60.0,40.0
26.9,81.56,1375,1.956,9,60.0,40.0
24.6,39.47,1206,1.139,6,60.0,40.0
29.02,72.03,1071,1.548,5,60.0,40.0
15.1,46.93,2046,1.08,1,60.0,40.0
26.69,47.68,962,1.746,7,76.97,69.04
15.86,52.7,1924,1.854,7,70.19,58.18
17.42,77.5,911,0.667,6,60.0,40.0
26.2,31.21,1629,1.596,8,60.0,40.0
31.6,53.87,1322,0.433,8,60.0,40.0
24.23,67.4,767,0.843,8,67.37,50.84
13.09,36.07,801,1.284,3,60.0,40.0
24.33,73.57,1050,1.365,7,60.0,40.0
12.85,81.8,1827,0.984,1,60.0,40.0
29.68,35.0,1766,0.833,6,60.0,40.0
26.19,38.41,928,0.675,2,60.0,40.0
15.46,83.58,1362,0.784,3,60.0,40.0
13.83,40.88,755,0.608,7,60.0,40.0
15.67,34.34,1746,0.818,4,60.0,40.0
31.6,82.37,1869,1.714,8,60.0,40.0
21.17,79.09,2030,0.86,1,60.0,40.0
27.68,66.06,2017,1.852,9,60.0,40.0
24.73,60.33,1141,0.792,7,84.13,87.2
23.45,80.56,1007,1.187,4,60.0,40.0
14.9,66.05,2035,0.668,1,60.0,40.0
30.92,66.21,834,0.427,1,60.0,40.0
18.03,76.4,695,1.401,4,60.0,40.0
23.56,65.93,1103,0.94,6,73.98,71.68
26.0,57.7,1816,0.952,5,83.51,87.01
24.98,51.43,1711,1.052,3,88.92,95.35
30.81,57.67,2179,1.644,6,60.0,40.0
14.97,58.74,1175,1.04,6,64.97,44.41
22.17,49.85,1041,0.538,4,90.26,106.1
20.08,54.65,1205,0.846,3,91.85,111.95
21.48,74.1,1852,1.322,4,60.0,40.0
14.38,52.91,943,1.99,7,61.94,40.0
14.68,31.41,2116,0.629,6,60.0,40.0
17.56,45.57,1420,0.918,2,73.37,53.6
18.09,42.75,1853,1.177,9,60.0,40.0
20.56,73.65,1924,1.911,2,60.0,40.0
24.22,54.71,1366,0.573,7,86.51,96.36
24.69,45.42,1786,1.67,1,73.93,61.1
20.24,74.59,1184,1.557,3,60.0,40.0
20.18,31.06,1897,0.89,6,60.0,40.0
16.35,39.58,1918,1.638,8,60.0,40.0
23.77,75.48,1506,1.32,6,60.0,40.0
18.34,60.29,949,0.674,1,84.33,91.24
12.72,72.55,2152,0.857,9,60.0,40.0
20.37,76.1,2115,0.925,3,60.0,40.0
21.48,81.81,1592,0.917,4,60.0,40.0
16.51,33.49,2174,1.594,1,60.0,40.0
23.45,73.96,1404,1.456,7,60.0,40.0
23.32,68.98,1201,1.712,5,63.62,43.94
26.04,41.39,1337,1.217,2,60.0,40.0
24.96,81.24,673,0.961,6,60.0,40.0
25.05,52.23,1479,0.508,2,84.87,91.4
18.32,78.82,1666,1.671,5,60.0,40.0
27.75,63.28,775,0.52,6,63.44,40.0
22.98,58.97,1009,0.882,8,91.32,103.11
20.63,38.77,1754,1.47,7,60.0,40.0
24.52,80.29,1870,1.623,6,60.0,40.0
19.21,60.62,2177,0.51,1,80.85,82.94
22.25,30.34,1005,1.372,3,60.0,40.0
26.73,31.01,1946,0.619,6,60.0,40.0
29.73,72.77,875,1.612,5,60.0,40.0
30.42,38.91,809,1.568,5,60.0,40.0
22.07,62.93,1767,1.597,7,83.69,89.38
22.41,67.46,1313,0.502,9,65.65,44.86
28.0,45.37,1870,1.295,5,61.59,40.0
18.29,61.31,1052,0.785,2,83.24,85.79
28.75,43.21,941,1.193,4,60.0,40.0
21.88,82.05,1478,1.983,3,60.0,40.0
14.32,77.31,784,0.545,5,60.0,40.0
13.44,45.84,1046,1.35,6,60.0,40.0
28.84,59.08,866,0.664,5,65.33,40.97
13.11,57.53,1112,1.216,6,60.0,40.0
17.61,82.8,1825,1.233,3,60.0,40.0
18.68,51.67,793,1.13,2,87.7,97.43
15.46,60.92,1579,1.423,8,64.23,44.87
18.28,81.08,1536,1.959,4,60.0,40.0
26.85,38.95,1461,1.688,2,60.0,40.0
12.29,60.28,1375,1.934,9,60.0,40.0
28.54,35.81,1662,0.703,1,60.0,40.0
29.13,63.96,1963,1.989,4,60.0,40.0
19.45,50.11,859,0.888,7,86.05,90.2
15.07,83.22,1903,0.455,4,60.0,40.0
24.02,52.85,698,1.098,8,93.3,107.24
14.39,37.49,1371,0.794,4,60.0,40.0
19.3,75.87,1418,1.619,6,60.0,40.0
31.17,75.15,916,0.539,4,60.0,40.0
31.91,68.22,743,1.277,5,60.0,40.0
27.44,71.18,720,0.863,5,60.0,40.0
18.22,44.56,660,0.731,9,67.12,50.81
25.75,65.31,1518,1.801,7,66.92,55.17
26.11,32.09,849,1.225,4,60.0,40.0
19.76,40.83,1894,0.921,4,60.0,40.0
24.82,81.28,2038,1.594,4,60.0,40.0
12.21,70.66,1068,1.765,7,60.0,40.0
16.18,42.69,863,1.107,6,60.0,40.0
22.5,36.13,1255,0.691,5,60.0,40.0
15.28,82.19,2011,1.991,4,60.0,40.0
15.32,36.17,1240,0.974,4,60.0,40.0
28.73,44.14,773,0.729,5,60.0,40.0
31.78,40.04,2175,0.565,8,60.0,40.0
23.12,30.41,1399,0.598,9,60.0,40.0
28.78,47.28,1148,1.909,1,60.0,40.0
31.81,83.58,2030,1.915,3,60.0,40.0
14.83,48.8,2084,1.213,7,60.0,40.0
20.96,57.74,1395,1.507,2,91.65,103.64
19.85,71.03,1091,1.732,6,60.0,40.0
13.6,60.31,1372,1.292,4,60.0,40.0
27.11,70.9,951,1.467,2,60.0,40.0
20.68,66.39,1365,1.947,5,72.56,61.12
21.39,63.47,967,0.676,5,84.63,87.09
15.01,65.73,1596,0.622,7,60.0,40.0
15.62,73.95,1816,1.605,8,60.0,40.0
30.14,69.06,2151,1.525,9,60.0,40.0
12.89,73.55,1948,0.698,4,60.0,40.0
16.66,38.01,738,0.884,7,60.0,40.0
17.84,67.27,938,1.496,8,64.75,43.86
21.8,70.54,1451,1.191,9,60.0,40.0
23.73,46.5,1012,1.83,6,80.53,85.09
21.87,78.1,623,1.739,3,60.0,40.0
13.68,46.76,1808,1.179,4,60.0,40.0
16.87,43.41,1172,1.467,2,61.79,40.0
28.87,77.69,706,1.43,2,60.0,40.0
